Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
Serial,771AX0A00095-11,STDA_Idle,0,0,74.64326,74.67213,55.33172,0,168,52.49939,0,168,42.34862,0,80,,,,42.68526,0,178,43.1716,0,173,0,0,0,0,0,0.9224729,0,0,
LAPres,168,STDA_InitialInflate,1181,2163,74.58062,73.17103,55.33823,0,1,52.49939,99.78,1,42.33838,99.78,3,,,,42.69642,99.78,4,43.15691,99.78,1,0,0,0,0,0,0.9291602,0,0,
RAPres,168,STDA_InitialPresHold,2163,2459,74.81099,72.53297,55.34213,0,0,52.50257,99.26666,0,42.31509,99.26666,37,,,,42.6808,99.26666,42,43.16937,99.26666,42,0,0,0,0,0,0.9321323,0,0,
LLPres,173,STDA_InitialTopUp,2561,2728,75.34325,72.66515,55.34269,0,812,52.50518,98.80222,814,42.3421,98.80222,2952,,,,42.67337,98.58222,162,43.14278,98.58222,1635,0,0,0,0,0,0.9527514,0,0,
RLPres,80,STDA_AR_Init,3233,4235,75.71194,72.52246,55.33265,0,812,52.49566,98.40295,814,42.3285,98.18296,2952,,,,42.68861,97.88963,162,43.14502,97.88963,1635,0,0,0,0,0,0.9284171,0,0,
LABI,1.029762,STDA_Arm_TopUp,4337,4451,76.14571,72.39854,55.32279,0,1,52.52704,97.94394,1,42.33092,97.87061,3,,,,42.68545,97.4795,1,43.13646,97.25951,1,0,0,0,0,0,0.9468071,0,0,
RABI,0.4761905,STDA_Arm_Inflate,4855,7750,76.10509,71.87722,55.33451,0,0,52.50761,97.28304,0,42.34862,97.18526,37,,,,42.67727,97.10378,42,43.1545,96.59045,42,0,0,0,0,0,0.9640826,0,0,
CALa_LAD__(V4),550506,STDA_Arm_Deflate,7953,11380,75.98303,71.5729,55.31144,0,0,52.50911,96.55664,0,42.34657,96.64628,0,,,,42.69716,96.61097,0,43.15821,95.92653,0,0,0,0,0,0,0.9403057,0,0,
CALa_LAO__(V6),554284,STDA_Arm_ProcessWait,11380,11583,76.64241,72.02604,55.30846,0,0,52.48501,95.94121,0,42.35514,95.91405,0,,,,42.68024,96.18475,0,43.17699,95.27216,0,0,0,0,0,0,0.9462499,0,0,
CALa_RAD__(V5),552818,STDA_Arm_Process,11583,22400,76.9468,71.21393,55.33097,0,0,52.49398,95.27363,0,42.33018,95.26186,0,,,,42.68545,95.75317,0,43.15171,94.60972,0,0,0,0,0,0,0.9520084,0,0,
CALa_RAO__(V6),554284,STDA_PVR,0,0,76.62156,69.60289,55.34418,0,0,52.50313,94.60383,0,42.34266,94.84073,0,,,,42.72021,95.52296,0,43.15394,94.16947,0,0,0,0,0,0,0.947736,0,0,
CALa_LLD__(V1),550089,STDA_AnkleWait,0,0,76.45418,68.02853,55.34121,0,193.4485,52.49491,94.17289,193.4485,42.34955,94.23888,180.0604,,,,42.71761,94.94028,179.8651,43.15617,93.58379,229.5015,0,0,0,0,0,0.9462499,0,0,
CALa_LLO__(V0),560435,STDA_AnkleCommon,0,0,76.26112,66.65292,55.32651,0,193.4339,52.51733,93.58345,193.4339,42.3583,93.90049,180.0516,,,,42.72337,94.30547,179.8585,43.17402,93.02099,229.4901,0,0,0,0,0,0.9549805,0,0,
CALa_RLD__(V3),553544,STDA_P1_Inflate,0,0,75.3812,64.11921,55.35106,0,193.4195,52.50388,93.02006,193.4195,42.35085,93.2267,180.0429,,,,42.7098,93.60291,179.853,43.17104,92.27142,229.4789,0,0,0,0,0,0.9304605,0,0,
CALa_RLO__(V2),554261,STDA_P1_DeflateWait,0,0,73.89968,61.06149,55.35981,0,193.4053,52.49696,92.27213,193.4053,42.35625,92.68869,180.0347,,,,42.71891,92.96288,179.8488,43.15766,91.85873,229.4678,0,0,0,0,0,0.9141138,0,0,
CALp_LAD__(V4),1888931,STDA_P1_Deflate,0,0,71.93477,59.27863,55.35088,0,193.3915,52.49715,91.63855,193.3915,42.35458,92.17196,180.0264,,,,42.73063,92.30375,179.8457,43.15227,91.50371,229.4564,0,0,0,0,0,0.9559093,0,0,
CALp_LAO__(V6),1900288,STDA_P1_OccVent,0,0,70.87498,57.4791,55.32856,0,193.3783,52.4865,90.99025,193.3783,42.36594,91.59578,180.0182,,,,42.7336,91.63651,179.8434,43.15171,90.99795,229.445,0,0,0,0,0,0.9163429,0,0,
CALp_RAD__(V5),1896785,STDA_P1_Process,0,0,70.46356,56.0009,55.31907,0,193.3659,52.49865,90.31364,193.3659,42.34583,91.27214,180.0097,,,,42.73211,90.98105,179.8421,43.16342,90.35346,229.4336,0,0,0,0,0,0.937705,0,0,
CALp_RAO__(V6),1900288,STDA_P2_InitialInf,0,0,69.28849,55.57792,55.33767,0,193.3545,52.50743,89.66081,193.3545,42.34489,90.57996,180.0013,,,,42.74327,90.32043,179.8416,43.16268,89.63171,229.4222,0,0,0,0,0,0.9306462,0,0,
CALp_LLD__(V1),1894833,STDA_P2_Inflate,0,0,68.69807,53.91561,55.34437,0,193.3438,52.49416,89.00157,193.3438,42.35309,90.26929,179.9928,,,,42.72709,89.65933,179.841,43.14409,89.00771,229.4108,0,0,0,0,0,0.9445781,0,0,
CALp_LLO__(V0),1904693,STDA_P2_DeflateWait,0,0,69.49322,51.78119,55.32204,0,193.3336,52.50537,88.33868,193.3336,42.3434,89.60712,179.9843,,,,42.71891,89.00027,179.8407,43.15766,88.34429,229.3995,0,0,0,0,0,0.9393768,0,0,
CALp_RLD__(V3),1895648,STDA_P2_Deflate,0,0,69.02213,49.95198,55.33172,0,193.3235,52.49192,87.68035,193.3235,42.32328,89.27212,179.9755,,,,42.72207,88.56001,179.8406,43.14948,87.89457,229.3884,0,0,0,0,0,0.9536802,0,0,
CALp_RLO__(V2),1900100,STDA_P2_OccVent,0,0,67.79267,47.96937,55.31981,0,193.3135,52.50743,87.2402,193.3135,42.3339,88.61617,179.9672,,,,42.72635,88.19321,179.8406,43.15097,87.31552,229.3771,0,0,0,0,0,0.9447638,0,0,
